dataset,tag,seed,run,accuracy,balanced_accuracy,macro_f1,auroc,auprc,loss,val_macro_f1,best_round,last_round,n_test
isic2018,centralized,42,isic2018_centralized_s42,0.751984126984127,0.7102032257893592,0.6818776048282269,0.9522505238638788,0.7930027161389319,0.6653462648391724,0.7869022532524524,7,50,1512
isic2018,centralized,43,isic2018_centralized_s43,0.7943121693121693,0.7214107800476289,0.7276579415678095,0.9577257235738375,0.8103976891433727,0.5630931258201599,0.8510365335715218,14,50,1512
isic2018,centralized,44,isic2018_centralized_s44,0.8181216931216931,0.6828767818882076,0.724879547677495,0.9566619947417268,0.8114861809130774,0.5799442529678345,0.7763922168057507,46,50,1512
isic2018,fedadam_a0.5_K10_E2_eta0.0001,42,isic2018_fedadam_a0.5_K10_E2_eta0.0001_s42,0.7037037037037037,0.5131867931024273,0.46169103059619704,0.9181905086296288,0.6235321803818934,0.9852564334869385,0.5160435188568181,50,50,1512
isic2018,fedadam_a0.5_K10_E2_eta0.001,42,isic2018_fedadam_a0.5_K10_E2_eta0.001_s42,0.7718253968253969,0.5847540125992008,0.621509488161464,0.9397460169021942,0.7081650018848225,0.6488404273986816,0.6170494864612512,38,50,1512
isic2018,fedadam_a0.5_K10_E2_eta0.001,43,isic2018_fedadam_a0.5_K10_E2_eta0.001_s43,0.7619047619047619,0.6687734472471358,0.6647038276663427,0.9398529170635823,0.7239852631830457,0.6622304916381836,0.70886569734496,49,50,1512
isic2018,fedadam_a0.5_K10_E2_eta0.001,44,isic2018_fedadam_a0.5_K10_E2_eta0.001_s44,0.7883597883597884,0.6069495777061161,0.6131730838287073,0.9474268520582837,0.7304891006752676,0.6331328749656677,0.645311016968771,35,50,1512
isic2018,fedadam_a0.5_K10_E2_eta1e-5,42,isic2018_fedadam_a0.5_K10_E2_eta1e-5_s42,0.05886243386243386,0.1921265087606178,0.0935962716783569,0.664765325460463,0.23118242663130023,1.9436051845550537,0.04924242424242425,47,50,1512
isic2018,fedavg_a0.1_K10_E2,42,isic2018_fedavg_a0.1_K10_E2_s42,0.6792328042328042,0.48927370780998325,0.4695548762603122,0.923474035570804,0.624206792814822,1.0375064611434937,0.45269624859856944,8,50,1512
isic2018,fedavg_a0.1_K10_E2,43,isic2018_fedavg_a0.1_K10_E2_s43,0.7334656084656085,0.49109029038506496,0.5010555754504395,0.9259412383211876,0.6361216756077145,0.8207343220710754,0.5691206789567446,42,50,1512
isic2018,fedavg_a0.1_K10_E2,44,isic2018_fedavg_a0.1_K10_E2_s44,0.6044973544973545,0.5470919986215731,0.4750277336188044,0.8732175042932281,0.5748689610733791,1.1852338314056396,0.5520075002866383,43,50,1512
isic2018,fedavg_a0.5_K10_E10,42,isic2018_fedavg_a0.5_K10_E10_s42,0.791005291005291,0.5533380767262164,0.6040023449322222,0.9449550034956161,0.7350786833951155,0.656015157699585,0.5588762428048143,13,50,1512
isic2018,fedavg_a0.5_K10_E10,43,isic2018_fedavg_a0.5_K10_E10_s43,0.8029100529100529,0.6265382414240499,0.6716935517044834,0.935279212250239,0.741068014265252,0.7208932638168335,0.6434765766771825,44,50,1512
isic2018,fedavg_a0.5_K10_E10,44,isic2018_fedavg_a0.5_K10_E10_s44,0.7566137566137566,0.6418141207484128,0.6566109248544372,0.9431554838864021,0.7561167241126954,0.667359471321106,0.6135679235409693,8,50,1512
isic2018,fedavg_a0.5_K10_E1,42,isic2018_fedavg_a0.5_K10_E1_s42,0.7843915343915344,0.6520363041418472,0.669648279089456,0.9377500215572593,0.7356070975295206,0.6382318139076233,0.6627731124546817,45,50,1512
isic2018,fedavg_a0.5_K10_E1,43,isic2018_fedavg_a0.5_K10_E1_s43,0.7751322751322751,0.6425329938706738,0.6631322055597784,0.9455362172773408,0.7535329527711561,0.6265718936920166,0.6816837927767582,39,50,1512
isic2018,fedavg_a0.5_K10_E1,44,isic2018_fedavg_a0.5_K10_E1_s44,0.7559523809523809,0.5400269081687975,0.5497945217147884,0.9390617518975019,0.7170216068917037,0.7133548259735107,0.6210308462930534,11,50,1512
isic2018,fedavg_a0.5_K10_E2_lr0.0002,42,isic2018_fedavg_a0.5_K10_E2_lr0.0002_s42,0.6501322751322751,0.577639682071256,0.5721751482815346,0.9444442038535679,0.7305832581468416,0.8203911185264587,0.6547677695121994,11,50,1512
isic2018,fedavg_a0.5_K10_E2_lr5e-5,42,isic2018_fedavg_a0.5_K10_E2_lr5e-5_s42,0.791005291005291,0.6522269844828793,0.6666472523472954,0.9421390520537726,0.7419666120114117,0.6226613521575928,0.6100840336134453,47,50,1512
