dataset,tag,n_seeds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,loss_mean,loss_sd,best_round_mean,best_round_sd,last_round_mean,last_round_sd,val_macro_f1_mean,val_macro_f1_sd
isic2019,fedadam_a0.5_K10_E2_eta1e-5,1,0.26835043409629045,,0.1830774098825061,,0.1381677780448237,,0.5954096770537922,,0.18132450303049977,,2.051363945007324,,44.0,,50.0,,0.14600409280279922,
isic2019,fedavg_a0.1_K10_E2,3,0.6369376479873717,0.061120994148537756,0.4454991833909543,0.025719365623529673,0.44440685614237424,0.018456456910590276,0.8736488918536817,0.013842049453821738,0.5016814171270759,0.014909618412417038,1.0722506841023762,0.11235080637286417,39.0,10.583005244258363,50.0,0.0,0.4479107618482901,0.025176689054041475
isic2019,fedavg_a0.5_K10_E1,3,0.7082346750855039,0.015204043716136966,0.5242893949382785,0.027761067206017277,0.52247112031643,0.036312621112144755,0.9131704170251339,0.007648909226298963,0.5597110429727814,0.02748259390539686,0.8331369956334432,0.03281960849952391,38.0,5.291502622129181,50.0,0.0,0.558020070896135,0.013470141078067653
isic2019,fedavg_a0.5_K10_E10,3,0.7205998421468035,0.007114347425935265,0.5059592282510257,0.024876450678827544,0.5065535904226951,0.02615908226284644,0.9141582229559475,0.008025162029817845,0.5531340734087457,0.018049008465453473,0.960779090722402,0.0856981493151386,26.333333333333332,11.50362261782493,50.0,0.0,0.5556504792829559,0.013097197205555633
isic2019,fedavg_a0.5_K10_E2,3,0.7112601946856091,0.01598791329043781,0.509381052657798,0.013206039671794607,0.5064772493035922,0.016264582242475404,0.9151270773696298,0.005212960631027037,0.5544127441593661,0.016987811302231752,0.8523975014686584,0.0103674682316983,43.0,8.18535277187245,50.0,0.0,0.5709383392882651,0.020364974967781634
isic2019,fedavg_a0.5_K10_E2_lr0.0002,3,0.7134964483030782,0.004176403016676534,0.5191659280331997,0.027656172252993896,0.524101766717027,0.009083133326531526,0.9155744478337384,0.00699815755839951,0.5644218424468685,0.007960494559725431,0.8649149537086487,0.03735855071183672,37.0,8.54400374531753,50.0,0.0,0.5660325963575596,0.021459206044389636
isic2019,fedavg_a0.5_K10_E2_lr5e-5,1,0.7162588792423047,,0.4965278285656046,,0.49739716446086446,,0.9130295542474476,,0.5443271469105706,,0.8431932330131531,,49.0,,50.0,,0.5500530642995556,
isic2019,fedavg_a0.5_K10_E5,3,0.7177058668771377,0.009876342722807645,0.5212284430309871,0.006477754585919123,0.5207374078968966,0.02126584721472105,0.9117180695026669,0.004296782821556784,0.5630675721274224,0.013323965618939003,0.8790402412414551,0.03915107221887973,34.333333333333336,15.50268793897798,50.0,0.0,0.5572184488666991,0.015752435671722253
isic2019,fedavg_a0.5_K20_E2,3,0.6954748750328861,0.024683759958109924,0.5045809574729103,0.026322152411763333,0.49812768778559313,0.027788438542819028,0.9039919896133394,0.0033618376964697676,0.5240379300654586,0.027260936376964785,0.8936593731244405,0.05818022392002646,17.0,13.45362404707371,50.0,0.0,0.5329970982863173,0.014793519973593147
isic2019,fedavg_a0.5_K5_E2,3,0.7224414627729545,0.0046246766196387495,0.5392753963573611,0.01516403650010926,0.5379149978441057,0.013134726417084172,0.9238596097026175,0.0016575062724535378,0.5795584860338967,0.002551241602508095,0.8353667259216309,0.008748366285899376,47.333333333333336,3.055050463303893,50.0,0.0,0.5718813214946027,0.009282520304984016
isic2019,fedavg_a100_K10_E2,3,0.735858984477769,0.008512859609241445,0.5684080863675616,0.006668275657595601,0.5664284718518849,0.00467321116260828,0.9257361310221682,0.0019996401872631607,0.6019255712761223,0.003976701409920897,0.8027588129043579,0.01637019888798375,31.333333333333332,9.865765724632496,50.0,0.0,0.618277528536494,0.013734548638382632
isic2019,fedavg_a1_K10_E2,3,0.7367797947908445,0.007308705279183921,0.5497017693198217,0.010403475062402528,0.5533214465727397,0.012793530725578034,0.9247756517558208,0.0036419752680506945,0.5814470426317152,0.002691136371961478,0.7961561481157938,0.008307106582901048,32.666666666666664,8.144527815247079,50.0,0.0,0.5777563824885448,0.011379590030041086
isic2019,fedprox_a0.5_K10_E2_mu0.001,1,0.7213891081294396,,0.5217522217512015,,0.5021317551456757,,0.9183128059434524,,0.5547395901940241,,0.818506121635437,,43.0,,50.0,,0.5582650830217819,
isic2019,fedprox_a0.5_K10_E2_mu0.01,1,0.72336227308603,,0.5101108836644797,,0.5037515102786891,,0.9201995661736629,,0.5643495489409163,,0.8100204467773438,,43.0,,50.0,,0.5480898255634858,
isic2019,fedprox_a0.5_K10_E2_mu0.1,3,0.7041568008418837,0.006907016886516758,0.5056470659492847,0.017764182101129275,0.4999429816963242,0.025201589611885126,0.910104489160379,0.0065330347841469965,0.5502466265188097,0.016568068911928316,0.8579637010892233,0.012539568564177553,37.333333333333336,2.0816659994661326,50.0,0.0,0.558198757799201,0.004823473680593492
